Name,Date_col,Species,Conc
hogdn,8/28/2019,Phosphate-P,0.46430432
hogdn,8/14/2019,Ammonium-N,0.011415946
hogdn,8/14/2019,Nitrate-N,0.09869771
hogdn,8/14/2019,Phosphate-P,0.56630074
hogdn,7/29/2019,Ammonium-N,0.004
hogdn,7/29/2019,Nitrate-N,0.083378574
hogdn,7/29/2019,Phosphate-P,0.546496909
hogdn,7/9/2019,Ammonium-N,0.012148411
hogdn,7/9/2019,Nitrate-N,0.220814657
hogdn,7/9/2019,Phosphate-P,0.635658794
hogdn,6/18/2019,Ammonium-N,0.004
hogdn,6/18/2019,Nitrate-N,0.055408491
hogdn,6/18/2019,Phosphate-P,0.475251706
hogdn,6/6/2019,Ammonium-N,0.011584004
hogdn,6/6/2019,Nitrate-N,0.12175587
hogdn,6/6/2019,Phosphate-P,0.247162529
hogdn,5/24/2019,Ammonium-N,0.047652133
hogdn,5/24/2019,Nitrate-N,0.362866471
hogdn,5/24/2019,Phosphate-P,0.632848522
hogdn,5/7/2019,Ammonium-N,0.034060651
hogdn,5/7/2019,Nitrate-N,0.193781514
hogdn,5/7/2019,Phosphate-P,0.684602781
hogdn,4/24/2019,Ammonium-N,0.004
hogdn,4/24/2019,Nitrate-N,0.330136387
hogdn,4/24/2019,Phosphate-P,0.629537125
hogdn,4/3/2019,Ammonium-N,1.094257078
hogdn,4/3/2019,Nitrate-N,0.181294381
hogdn,4/3/2019,Phosphate-P,0.505940426
hogdn,3/22/2019,Phosphate-P,0.612246183
hogdn,2/20/2019,Ammonium-N,0.154356152
hogdn,2/20/2019,Nitrate-N,0.297930323
hogdn,2/20/2019,Phosphate-P,0.646733307
hogdn,2/6/2019,Ammonium-N,0.627595189
hogdn,2/6/2019,Nitrate-N,0.063494401
hogdn,2/6/2019,Phosphate-P,0.475369076
hogdn,1/25/2019,Ammonium-N,0.004
hogdn,1/25/2019,Nitrate-N,0.029769333
hogdn,1/25/2019,Phosphate-P,0.319414223
hogdn,1/18/2019,Ammonium-N,0.191170648
hogdn,1/18/2019,Nitrate-N,0.246834403
hogdn,1/18/2019,Phosphate-P,0.394245073
hogdn,1/4/2019,Ammonium-N,0.025473338
hogdn,1/4/2019,Nitrate-N,0.131289339
hogdn,1/4/2019,Phosphate-P,0.586027233
hogdn,12/20/2018,Ammonium-N,0.197354328
hogdn,12/20/2018,Nitrate-N,0.0015
hogdn,12/20/2018,Phosphate-P,0.05407559
hogdn,12/5/2018,Ammonium-N,0.028842979
hogdn,12/5/2018,Nitrate-N,0.044669008
hogdn,12/5/2018,Phosphate-P,0.187870028
hogdn,11/29/2018,Ammonium-N,0.237321316
hogdn,11/29/2018,Nitrate-N,0.225989092
hogdn,11/29/2018,Phosphate-P,0.60459118
hogdn,11/13/2018,Ammonium-N,0.030257438
hogdn,11/13/2018,Nitrate-N,0.197906138
hogdn,11/13/2018,Phosphate-P,0.814121652
hogdn,11/8/2018,Ammonium-N,0.127485484
hogdn,11/8/2018,Nitrate-N,0.347111001
hogdn,11/8/2018,Phosphate-P,0.807209472
hogdn,10/31/2018,Ammonium-N,0.244959955
hogdn,10/31/2018,Nitrate-N,0.422370714
hogdn,10/31/2018,Phosphate-P,0.677986136
hogdn,10/18/2018,Ammonium-N,0.104001919
hogdn,10/18/2018,Nitrate-N,0.217878717
hogdn,10/18/2018,Phosphate-P,0.768799848
hogup,11/5/2020,Ammonium-N,0.070406168
hogup,11/5/2020,Nitrate-N,0.346505364
hogup,11/5/2020,Phosphate-P,0.162631561
hogup,10/22/2020,Ammonium-N,0.008786351
hogup,10/22/2020,Nitrate-N,0.146508959
hogup,10/22/2020,Phosphate-P,0.260922217
hogup,10/8/2020,Ammonium-N,0.013811805
hogup,10/8/2020,Nitrate-N,0.305465649
hogup,10/8/2020,Phosphate-P,0.368495742
hogup,9/10/2020,Ammonium-N,0.013481634
hogup,9/10/2020,Nitrate-N,0.077536233
hogup,9/10/2020,Phosphate-P,0.12310234
hogup,8/24/2020,Ammonium-N,0.014438093
hogup,8/24/2020,Nitrate-N,0.153138762
hogup,8/24/2020,Phosphate-P,0.271013196
hogup,8/14/2020,Ammonium-N,0.103817696
hogup,8/14/2020,Nitrate-N,0.284944721
hogup,8/14/2020,Phosphate-P,0.470497874
hogup,7/28/2020,Ammonium-N,0.099783572
hogup,7/28/2020,Nitrate-N,0.401233963
hogup,7/28/2020,Phosphate-P,0.44946521
hogup,7/16/2020,Ammonium-N,0.018795568
hogup,7/16/2020,Nitrate-N,0.134179653
hogup,7/16/2020,Phosphate-P,0.246011997
hogup,6/26/2020,Ammonium-N,0.188397569
hogup,6/26/2020,Nitrate-N,0.309948434
hogup,6/26/2020,Phosphate-P,0.423804601
hogup,3/12/2020,Ammonium-N,0.148249043
hogup,3/12/2020,Nitrate-N,0.329488272
hogup,3/12/2020,Phosphate-P,0.542878243
hogup,2/28/2020,Ammonium-N,0.028702453
hogup,2/28/2020,Nitrate-N,0.182699663
hogup,2/28/2020,Phosphate-P,0.332325448
hogup,2/12/2020,Ammonium-N,0.021863283
hogup,2/12/2020,Nitrate-N,0.223595767
hogup,2/12/2020,Phosphate-P,0.51888027
hogup,1/10/2020,Ammonium-N,0.007849266
hogup,1/10/2020,Nitrate-N,0.293235113
hogup,1/10/2020,Phosphate-P,0.358719526
hogup,12/17/2019,Ammonium-N,0.004
hogup,12/17/2019,Nitrate-N,0.267023334
hogup,12/17/2019,Phosphate-P,0.520406639
hogup,12/6/2019,Ammonium-N,0.004
hogup,12/6/2019,Nitrate-N,0.434057945
hogup,12/6/2019,Phosphate-P,0.545942086
hogup,11/20/2019,Ammonium-N,0.004
hogup,11/20/2019,Nitrate-N,0.384776499
hogup,11/20/2019,Phosphate-P,0.379885235
hogup,11/6/2019,Ammonium-N,0.012966382
hogup,11/6/2019,Nitrate-N,0.369866031
hogup,11/6/2019,Phosphate-P,0.521518418
hogup,10/23/2019,Ammonium-N,0.004
hogup,10/23/2019,Nitrate-N,0.234764241
hogup,10/23/2019,Phosphate-P,0.366199769
hogup,10/9/2019,Ammonium-N,0.004
hogup,10/9/2019,Nitrate-N,0.107032193
hogup,10/9/2019,Phosphate-P,0.335568642
hogup,9/25/2019,Ammonium-N,0.007793842
hogup,9/25/2019,Nitrate-N,0.62377103
hogup,9/25/2019,Phosphate-P,0.494535627
hogup,9/11/2019,Ammonium-N,0.004
hogup,9/11/2019,Nitrate-N,0.350098382
hogup,9/11/2019,Phosphate-P,0.362862386
hogup,8/28/2019,Ammonium-N,0.004
hogup,8/28/2019,Nitrate-N,0.056392266
hogup,8/28/2019,Phosphate-P,0.157252933
hogup,8/14/2019,Ammonium-N,0.013430614
hogup,8/14/2019,Nitrate-N,0.150725816
hogup,8/14/2019,Phosphate-P,0.159471236
hogup,7/29/2019,Ammonium-N,0.004
hogup,7/29/2019,Nitrate-N,0.103378695
hogup,7/29/2019,Phosphate-P,0.154344054
hogup,7/9/2019,Ammonium-N,0.013692619
hogup,7/9/2019,Nitrate-N,0.325686229
hogup,7/9/2019,Phosphate-P,0.370227141
hogup,6/18/2019,Ammonium-N,0.004
hogup,6/18/2019,Nitrate-N,0.156441251
hogup,6/18/2019,Phosphate-P,0.234085438
hogup,6/6/2019,Ammonium-N,0.004
hogup,6/6/2019,Nitrate-N,0.235144341
hogup,6/6/2019,Phosphate-P,0.617707186
hogup,5/24/2019,Ammonium-N,0.185867351
hogup,5/24/2019,Nitrate-N,0.469314955
hogup,5/24/2019,Phosphate-P,0.580921765
hogup,5/7/2019,Ammonium-N,0.088477441
hogup,5/7/2019,Nitrate-N,0.286897149
hogup,5/7/2019,Phosphate-P,0.412499851
hogup,4/24/2019,Ammonium-N,0.004
hogup,4/24/2019,Nitrate-N,0.406875723
hogup,4/24/2019,Phosphate-P,0.470039827
hogup,4/3/2019,Ammonium-N,0.310708087
hogup,4/3/2019,Nitrate-N,0.330384822
hogup,4/3/2019,Phosphate-P,0.450222734
hogup,1/25/2019,Ammonium-N,0.005804983
hogup,1/25/2019,Nitrate-N,0.121411043
hogup,1/25/2019,Phosphate-P,0.146371716
hogup,1/18/2019,Ammonium-N,0.554385725
hogup,1/18/2019,Nitrate-N,0.313886007
hogup,1/18/2019,Phosphate-P,0.321073258
hogup,1/4/2019,Ammonium-N,0.034629322
hogup,1/4/2019,Nitrate-N,0.258040455
hogup,1/4/2019,Phosphate-P,0.316035261
hogup,12/20/2018,Ammonium-N,0.497516424
hogup,12/20/2018,Nitrate-N,0.077515069
hogup,12/20/2018,Phosphate-P,0.130470035
hogup,12/5/2018,Ammonium-N,0.015021598
hogup,12/5/2018,Nitrate-N,0.12078252
hogup,12/5/2018,Phosphate-P,0.106626455
hogup,11/29/2018,Ammonium-N,0.093535927
hogup,11/29/2018,Nitrate-N,0.361108133
hogup,11/29/2018,Phosphate-P,0.505655994
hogup,11/13/2018,Ammonium-N,0.026961242
hogup,11/13/2018,Nitrate-N,0.390558138
hogup,11/13/2018,Phosphate-P,0.608844237
hogup,11/8/2018,Ammonium-N,0.093571136
hogup,11/8/2018,Nitrate-N,0.433433569
hogup,11/8/2018,Phosphate-P,0.600244856
hogup,10/31/2018,Ammonium-N,1.403405768
hogup,10/31/2018,Nitrate-N,0.389160512
hogup,10/31/2018,Phosphate-P,0.571091305
hogup,10/18/2018,Ammonium-N,0.052947688
hogup,10/18/2018,Nitrate-N,0.411274752
hogup,10/18/2018,Phosphate-P,0.610032133
hogup,9/14/2018,Ammonium-N,0.22657109
hogup,9/14/2018,Nitrate-N,0.398157529
hogup,9/14/2018,Phosphate-P,0.419528176
posnw16,11/5/2020,Ammonium-N,0.059361586
posnw16,11/5/2020,Nitrate-N,0.513590474
posnw16,11/5/2020,Phosphate-P,0.410197414
posnw16,10/22/2020,Ammonium-N,0.007646588
posnw16,10/22/2020,Nitrate-N,0.351510981
posnw16,10/22/2020,Phosphate-P,0.465800612
posnw16,10/8/2020,Ammonium-N,0.010354731
posnw16,10/8/2020,Nitrate-N,0.439971979
posnw16,10/8/2020,Phosphate-P,0.731603344
posnw16,9/10/2020,Ammonium-N,0.012570289
posnw16,9/10/2020,Nitrate-N,0.131905178
posnw16,9/10/2020,Phosphate-P,0.504860924
posnw16,8/24/2020,Ammonium-N,0.012937725
posnw16,8/24/2020,Nitrate-N,0.361757248
posnw16,8/24/2020,Phosphate-P,0.728098185
posnw16,8/14/2020,Ammonium-N,0.102719052
posnw16,8/14/2020,Nitrate-N,0.636679275
posnw16,8/14/2020,Phosphate-P,0.866544347
posnw16,7/28/2020,Ammonium-N,0.089046085
posnw16,7/28/2020,Nitrate-N,0.647288174
posnw16,7/28/2020,Phosphate-P,0.890825762
posnw16,7/16/2020,Ammonium-N,0.004922582
posnw16,7/16/2020,Nitrate-N,0.198179175
posnw16,7/16/2020,Phosphate-P,0.457286778
posnw16,6/26/2020,Ammonium-N,0.157085392
posnw16,6/26/2020,Nitrate-N,0.577262519
posnw16,6/26/2020,Phosphate-P,0.87004153
posnw16,3/12/2020,Ammonium-N,0.183254111
posnw16,3/12/2020,Nitrate-N,0.678290673
posnw16,3/12/2020,Phosphate-P,0.955768795
posnw16,2/28/2020,Ammonium-N,0.02796822
posnw16,2/28/2020,Nitrate-N,0.354564978
posnw16,2/28/2020,Phosphate-P,0.658082598
posnw16,2/12/2020,Ammonium-N,0.025303956
posnw16,2/12/2020,Nitrate-N,0.487344587
posnw16,2/12/2020,Phosphate-P,0.941122217
posnw16,1/10/2020,Ammonium-N,0.097793943
posnw16,1/10/2020,Nitrate-N,0.592573751
posnw16,1/10/2020,Phosphate-P,0.706525273
posnw16,12/17/2019,Ammonium-N,0.004
posnw16,12/17/2019,Nitrate-N,0.496704183
posnw16,12/17/2019,Phosphate-P,0.807797131
posnw16,11/20/2019,Ammonium-N,0.004
posnw16,11/20/2019,Nitrate-N,0.813651277
posnw16,11/20/2019,Phosphate-P,0.669823684
posnw16,11/6/2019,Ammonium-N,0.022765809
posnw16,11/6/2019,Nitrate-N,0.794062088
posnw16,11/6/2019,Phosphate-P,0.861687885
posnw16,10/23/2019,Ammonium-N,0.004
posnw16,10/23/2019,Nitrate-N,0.608738862
posnw16,10/23/2019,Phosphate-P,0.78746521
posnw16,10/9/2019,Ammonium-N,0.004
posnw16,10/9/2019,Nitrate-N,0.361746684
posnw16,10/9/2019,Phosphate-P,0.719085284
posnw16,9/25/2019,Ammonium-N,0.005619363
posnw16,9/25/2019,Nitrate-N,0.944815202
posnw16,9/25/2019,Phosphate-P,0.848514495
posnw16,9/11/2019,Ammonium-N,0.004
posnw16,9/11/2019,Nitrate-N,0.790758277
posnw16,9/11/2019,Phosphate-P,0.824074415
posnw16,8/28/2019,Ammonium-N,0.004
posnw16,8/28/2019,Nitrate-N,0.32471532
posnw16,8/28/2019,Phosphate-P,0.698945184
posnw16,8/14/2019,Ammonium-N,0.009247925
posnw16,8/14/2019,Nitrate-N,0.420699342
posnw16,8/14/2019,Phosphate-P,0.643305473
posnw16,7/29/2019,Ammonium-N,0.004
posnw16,7/29/2019,Nitrate-N,0.385062911
posnw16,7/29/2019,Phosphate-P,0.69162048
posnw16,7/9/2019,Ammonium-N,0.007576791
posnw16,7/9/2019,Nitrate-N,0.615721905
posnw16,7/9/2019,Phosphate-P,0.762166592
posnw16,6/18/2019,Ammonium-N,0.004
posnw16,6/18/2019,Nitrate-N,0.349580161
posnw16,6/18/2019,Phosphate-P,0.605797475
posnw16,6/6/2019,Ammonium-N,0.010629024
posnw16,6/6/2019,Nitrate-N,0.421618398
posnw16,6/6/2019,Phosphate-P,0.573628725
posnw16,5/24/2019,Ammonium-N,0.034515247
posnw16,5/24/2019,Nitrate-N,1.02522405
posnw16,5/24/2019,Phosphate-P,0.96701066
posnw16,5/7/2019,Ammonium-N,0.01452568
posnw16,5/7/2019,Nitrate-N,0.704219766
posnw16,5/7/2019,Phosphate-P,0.853631541
posnw16,4/24/2019,Ammonium-N,0.004
posnw16,4/24/2019,Nitrate-N,0.841106817
posnw16,4/24/2019,Phosphate-P,0.871654425
posnw16,4/3/2019,Ammonium-N,0.899957793
posnw16,4/3/2019,Nitrate-N,0.681780075
posnw16,4/3/2019,Phosphate-P,0.757487159
posnw16,3/22/2019,Ammonium-N,0.348056814
posnw16,3/22/2019,Nitrate-N,0.839407411
posnw16,3/22/2019,Phosphate-P,0.879161554
posnw16,2/20/2019,Ammonium-N,0.073558593
posnw16,2/20/2019,Nitrate-N,0.617580292
posnw16,2/20/2019,Phosphate-P,0.848777123
posnw16,2/6/2019,Ammonium-N,0.944780045
posnw16,2/6/2019,Nitrate-N,0.51047336
posnw16,2/6/2019,Phosphate-P,0.682294673
posnw16,1/25/2019,Ammonium-N,0.004
posnw16,1/25/2019,Nitrate-N,0.240529078
posnw16,1/25/2019,Phosphate-P,0.461518941
posnw16,1/18/2019,Ammonium-N,0.45116362
posnw16,1/18/2019,Nitrate-N,0.722570988
posnw16,1/18/2019,Phosphate-P,0.665968204
posnw16,1/4/2019,Ammonium-N,0.02522013
posnw16,1/4/2019,Nitrate-N,0.511787656
posnw16,1/4/2019,Phosphate-P,0.753489016
posnw16,12/20/2018,Ammonium-N,0.493899699
posnw16,12/20/2018,Nitrate-N,0.394643149
posnw16,12/20/2018,Phosphate-P,0.23095821
posnw16,12/5/2018,Ammonium-N,0.466516284
