sample_type,species,model,treatment,perf_met,mean,std,min,25%,50%,75%,max
Hydroponics,Nitrate-N,XGB-PCA,undiluted,test_rmse,25.22253153566105,4.252719949250118,18.1019135051941,22.496179621126494,24.57597116072447,27.93924849103961,34.07466094525153
Hydroponics,Ammonium-N,DL,diluted,test_rmse,4.439985975927161,1.0117862938724047,2.575056971334849,3.9758406151084,4.371505865653798,4.9788607989095235,6.840161161599997
Hydroponics,Ammonium-N,DL,undiluted,test_rmse,3.081028749568077,0.5982700196960195,1.990334973138311,2.7368547710995523,2.9794536566414074,3.502315578734622,4.383991929536565
Hydroponics,Ammonium-N,PLS,diluted,test_rmse,3.716090642632243,1.1600468447507402,2.5484721055489654,2.8675431589851454,3.4446508240069917,4.121836032292603,7.474385427090884
Hydroponics,Ammonium-N,PLS,undiluted,test_rmse,2.9790255968139463,0.47827039814779115,2.114506591998164,2.72956336602157,2.957562176428752,3.0939271164301463,4.237833603646651
Hydroponics,Ammonium-N,RF-PCA,diluted,test_rmse,3.4776650520836725,0.4894919643819864,2.7543088218744365,3.057122994370794,3.455825533431626,3.864964618515291,4.478916759676648
Hydroponics,Ammonium-N,RF-PCA,undiluted,test_rmse,3.0670026617304726,0.5615761562409054,2.3535242007370427,2.5803520063958936,3.0905267000284553,3.2968536571934073,4.358095330644788
Hydroponics,Ammonium-N,XGB-PCA,diluted,test_rmse,3.605712038286042,0.6299020519153211,2.533572548615752,3.1215784662082027,3.7087154303320005,4.030836336980197,4.727447663394035
Hydroponics,Ammonium-N,XGB-PCA,undiluted,test_rmse,3.23588169593964,0.5594521450870346,2.203688767546752,2.825735087701193,3.16008001572124,3.479637807292498,4.374002182505878
Hydroponics,Phosphorus,DL,diluted,test_rmse,14.596751037528895,1.9307710023126154,8.888106958461329,13.929740284765531,14.931264950554407,15.741520374753367,17.364220299083698
Hydroponics,Phosphorus,DL,undiluted,test_rmse,13.44860382233965,2.4482792579049875,8.25261829791645,11.99905494952925,13.30191290606907,14.850367798409858,18.72995208768918
Hydroponics,Phosphorus,PLS,diluted,test_rmse,11.176656330631964,2.2170542628441834,6.7744785196716535,10.202464512848364,11.647896342438756,12.652086034068423,14.578483246555717
Hydroponics,Phosphorus,PLS,undiluted,test_rmse,11.078798860605904,2.412219300014268,5.606950086840108,10.059384038002504,11.087116972133543,12.447617368986675,15.493064572176763
Hydroponics,Phosphorus,RF-PCA,diluted,test_rmse,10.419531863272724,2.008631338466027,6.222029752064896,9.191527812030266,10.675894876563131,12.018532005704557,13.61623533370021
Hydroponics,Phosphorus,RF-PCA,undiluted,test_rmse,10.75078293122336,2.3172993689644725,5.889888318611191,10.02465328408546,10.671094439235878,12.083253338977038,14.91334837411024
Hydroponics,Phosphorus,XGB-PCA,diluted,test_rmse,11.425733555515702,1.9358693481670026,7.39481175714678,10.466814618004733,11.697675971926877,12.63008351956272,14.96682580685864
Hydroponics,Phosphorus,XGB-PCA,undiluted,test_rmse,11.56244546382872,2.4370317160367962,6.704892179609119,10.320682051833275,11.663612555534087,13.337790740724667,15.88899160392467
Hydroponics,Potassium,DL,diluted,test_rmse,43.9493677559945,10.063638593356051,30.046146553866294,37.35092027145615,43.20803646010588,48.051137483488944,73.45963693936982
Hydroponics,Potassium,DL,undiluted,test_rmse,31.62350214326691,9.835299418257756,19.379514528782,27.087140474609708,30.5579817101605,31.671269062104717,58.64683776398622
Hydroponics,Potassium,PLS,diluted,test_rmse,42.18070372304182,7.746976486408491,31.854764924636783,37.50377648191059,41.25513002567651,44.655586736874454,66.176500951692
Hydroponics,Potassium,PLS,undiluted,test_rmse,26.640952122836257,10.141432072661937,15.442646233557108,21.131481019349323,24.937296541619126,27.200123893642814,60.856597835803925
Hydroponics,Potassium,RF-PCA,diluted,test_rmse,36.770942712427434,4.792506840796174,26.73024109266656,33.774764192929155,36.79971194527769,41.00568123524307,43.54924101420918
Hydroponics,Potassium,RF-PCA,undiluted,test_rmse,30.339678094152458,4.574305324354252,23.759333608178867,26.058679229232688,30.262796984504728,33.42192212613731,38.43161256246882
Hydroponics,Potassium,XGB-PCA,diluted,test_rmse,38.29806685413004,5.599664919305333,28.610568373967887,35.83461081137082,38.984192585504545,41.039878438253325,52.34264415273461
Hydroponics,Potassium,XGB-PCA,undiluted,test_rmse,31.590489113539384,4.643283075207833,24.939201765862865,28.051125912877765,31.360563736299984,34.653558447949976,42.02559992066523
Hydroponics,Calcium,DL,diluted,test_rmse,34.0634336994657,23.401304536708263,18.50825773169108,21.814834847882114,26.645543533715802,29.978817797583115,104.35355663180948
