sample_type,species,model,perf_met,mean,std,min,25%,50%,75%,max
Hydroponics,Nitrate-N,RF-PCA,test_rmse,24.39551859652661,4.717477891090536,16.075976497561527,21.93213890073619,23.632877400059392,27.442834565903006,36.62263934323209
Hydroponics,Nitrate-N,XGB-PCA,test_rmse,25.22253153566105,4.252719949250118,18.1019135051941,22.496179621126494,24.57597116072447,27.939248491039613,34.07466094525153
Hydroponics,Nitrate-N,DL,test_rmse,41.310651193960474,33.54607121734538,18.30273059062392,25.846507148410844,28.941910372489232,34.50680242458114,153.112211981024
Hydroponics,Ammonium-N,PLS,test_rmse,2.979025596813946,0.47827039814779115,2.114506591998164,2.72956336602157,2.957562176428752,3.0939271164301463,4.237833603646651
Hydroponics,Ammonium-N,RF-PCA,test_rmse,3.0670026617304718,0.5615761562409054,2.3535242007370427,2.5803520063958936,3.0905267000284553,3.2968536571934073,4.358095330644788
Hydroponics,Ammonium-N,XGB-PCA,test_rmse,3.23588169593964,0.5594521450870346,2.203688767546752,2.8257350877011924,3.16008001572124,3.479637807292498,4.374002182505878
Hydroponics,Ammonium-N,DL,test_rmse,3.081028749568077,0.5982700196960195,1.990334973138311,2.7368547710995523,2.9794536566414074,3.502315578734622,4.383991929536565
Hydroponics,Phosphorus,PLS,test_rmse,11.078798860605904,2.412219300014268,5.606950086840108,10.059384038002504,11.087116972133543,12.447617368986675,15.493064572176763
Hydroponics,Phosphorus,RF-PCA,test_rmse,10.75078293122336,2.3172993689644725,5.889888318611191,10.024653284085462,10.671094439235878,12.083253338977038,14.91334837411024
Hydroponics,Phosphorus,XGB-PCA,test_rmse,11.562445463828722,2.4370317160367962,6.704892179609119,10.320682051833275,11.663612555534087,13.337790740724667,15.88899160392467
Hydroponics,Phosphorus,DL,test_rmse,13.44860382233965,2.4482792579049875,8.25261829791645,11.99905494952925,13.30191290606907,14.850367798409858,18.72995208768918
Hydroponics,Potassium,PLS,test_rmse,26.640952122836257,10.141432072661937,15.442646233557108,21.131481019349323,24.937296541619126,27.200123893642814,60.856597835803925
Hydroponics,Potassium,RF-PCA,test_rmse,30.339678094152454,4.574305324354252,23.759333608178867,26.058679229232688,30.262796984504728,33.42192212613731,38.43161256246882
Hydroponics,Potassium,XGB-PCA,test_rmse,31.590489113539384,4.643283075207833,24.939201765862865,28.051125912877765,31.360563736299984,34.653558447949976,42.02559992066523
Hydroponics,Potassium,DL,test_rmse,31.62350214326691,9.835299418257756,19.379514528782,27.087140474609704,30.5579817101605,31.671269062104717,58.64683776398622
Hydroponics,Calcium,PLS,test_rmse,13.307059776470624,3.9511285754892143,10.255828337095643,11.077252956587746,11.971048538016824,14.209665839393182,27.80916345398253
Hydroponics,Calcium,RF-PCA,test_rmse,14.30419436270623,2.657203894520009,10.069130283788922,12.040527558466724,14.826179406115909,16.022626120195277,19.76693283508162
Hydroponics,Calcium,XGB-PCA,test_rmse,13.178890018408762,2.9016006020126746,10.06760779054466,10.997423486580555,12.595288517773431,14.537482583167735,19.179707418377824
Hydroponics,Calcium,DL,test_rmse,16.655730134153963,12.398903422967233,9.564367868628462,11.749752718118254,13.89149288385796,16.393279598589164,67.67891656602535
