OBJECTID,FID_LULC_s,LANDUSE_CO,LANDUSE_DE,LEVEL1_LAN,LEVEL1_L_1,LEVEL2_LAN,LEVEL2_L_1,LANDCOVER_,LANDCOVER1,WATER_MANA,LANDUSE_YE,FID_waters,Id,Name,Area,Area_sq_ft,Shape_Leng,Shape_Area
42,376,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,5,0,Hatchet Creek,1671797400.58000000000,1671797400.58000000000,2714.65787100000,138620.68392500000
43,377,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,5,0,Hatchet Creek,1671797400.58000000000,1671797400.58000000000,626.87468648400,16488.33791400000
44,378,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,5,0,Hatchet Creek,1671797400.58000000000,1671797400.58000000000,1713.54615398000,60235.67785720000
45,379,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,5,0,Hatchet Creek,1671797400.58000000000,1671797400.58000000000,889.97775328500,45009.59850090000
46,393,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,6,0,Hogtown Creek Downstream,0.00000000000,1035612802.64000000000,1973.20408231000,86130.51375850000
47,400,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,6,0,Hogtown Creek Downstream,0.00000000000,1035612802.64000000000,158.79675728300,1094.09173019000
48,401,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,5,0,Hatchet Creek,1671797400.58000000000,1671797400.58000000000,674.79360170500,20832.81734700000
49,402,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,5,0,Hatchet Creek,1671797400.58000000000,1671797400.58000000000,313.99066184800,6114.83163474000
50,404,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,5,0,Hatchet Creek,1671797400.58000000000,1671797400.58000000000,651.54131493000,28586.74207030000
51,406,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,5,0,Hatchet Creek,1671797400.58000000000,1671797400.58000000000,1035.29574817000,34070.89883110000
52,407,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,5,0,Hatchet Creek,1671797400.58000000000,1671797400.58000000000,468.18474157400,12339.24435670000
53,414,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,5,0,Hatchet Creek,1671797400.58000000000,1671797400.58000000000,680.47584641900,23812.06260250000
54,417,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,5,0,Hatchet Creek,1671797400.58000000000,1671797400.58000000000,609.21441598600,17467.99637530000
55,419,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,5,0,Hatchet Creek,1671797400.58000000000,1671797400.58000000000,1819.01780196000,61868.27787540000
56,421,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,5,0,Hatchet Creek,1671797400.58000000000,1671797400.58000000000,901.74912694100,29147.13797250000
57,422,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,5,0,Hatchet Creek,1671797400.58000000000,1671797400.58000000000,3264.08929324000,117504.27598700000
58,423,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,6,0,Hogtown Creek Downstream,0.00000000000,1035612802.64000000000,3179.12712413000,473301.96459100000
59,424,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,6,0,Hogtown Creek Downstream,0.00000000000,1035612802.64000000000,338.30405742300,5099.90123859000
60,427,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,5,0,Hatchet Creek,1671797400.58000000000,1671797400.58000000000,94.96496038060,304.45930487300
61,429,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,5,0,Hatchet Creek,1671797400.58000000000,1671797400.58000000000,192.39826774300,1125.64201813000
62,453,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,6,0,Hogtown Creek Downstream,0.00000000000,1035612802.64000000000,934.85301591600,48594.24970200000
63,459,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,5,0,Hatchet Creek,1671797400.58000000000,1671797400.58000000000,631.51829091500,9217.78405114000
64,461,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,5,0,Hatchet Creek,1671797400.58000000000,1671797400.58000000000,296.07012982900,3144.61351301000
