perf_met,species,model,trmt1,trmt2,meandiff,pvalue,reject
test_rmse,TP,XGB-PCA,fil,unf,0.006464384225005393,0.9921503498547499,False
test_rsq,Ammonium-N,DL,comb,fil,-0.010970315154401972,0.9849851502279331,False
test_rsq,Ammonium-N,DL,comb,unf,0.10899930096251746,0.23493568251055597,False
test_rsq,Ammonium-N,DL,fil,unf,0.11996961611691943,0.17487057072546042,False
test_rsq,Ammonium-N,PLS,comb,fil,-0.032788516941560764,0.8313515329908744,False
test_rsq,Ammonium-N,PLS,comb,unf,-0.03371563048125975,0.8226280581289945,False
test_rsq,Ammonium-N,PLS,fil,unf,-0.0009271135396989871,0.9998517530271652,False
test_rsq,Ammonium-N,RF-PCA,comb,fil,0.017990169841489885,0.9601320782121826,False
test_rsq,Ammonium-N,RF-PCA,comb,unf,0.012054410966347524,0.9818909118004451,False
test_rsq,Ammonium-N,RF-PCA,fil,unf,-0.005935758875142361,0.9955773090359146,False
test_rsq,Ammonium-N,XGB-PCA,comb,fil,0.0490980794653121,0.8701159661849607,False
test_rsq,Ammonium-N,XGB-PCA,comb,unf,0.05928532176474487,0.8166234895858862,False
test_rsq,Ammonium-N,XGB-PCA,fil,unf,0.01018724229943277,0.9940111911603575,False
test_rsq,Nitrate-N,DL,comb,fil,0.2919838686092189,0.105811360020997,False
test_rsq,Nitrate-N,DL,comb,unf,0.2609179482573474,0.16362270693694958,False
test_rsq,Nitrate-N,DL,fil,unf,-0.0310659203518715,0.9736945234103352,False
test_rsq,Nitrate-N,PLS,comb,fil,0.04515992638184141,0.9302514720692392,False
test_rsq,Nitrate-N,PLS,comb,unf,0.16130981486555296,0.4040795360702948,False
test_rsq,Nitrate-N,PLS,fil,unf,0.11614988848371155,0.6224071580155854,False
test_rsq,Nitrate-N,RF-PCA,comb,fil,0.03678732786550398,0.9763974057129526,False
test_rsq,Nitrate-N,RF-PCA,comb,unf,0.05754403624271731,0.9432719189586067,False
test_rsq,Nitrate-N,RF-PCA,fil,unf,0.02075670837721333,0.9924219428288982,False
test_rsq,Nitrate-N,XGB-PCA,comb,fil,0.045098061441220194,0.9666081078957586,False
test_rsq,Nitrate-N,XGB-PCA,comb,unf,0.12375883117870101,0.7752652144939205,False
test_rsq,Nitrate-N,XGB-PCA,fil,unf,0.07866076973748082,0.9019744902432297,False
test_rsq,ON,DL,comb,fil,0.22765308236777537,0.307732518078467,False
test_rsq,ON,DL,comb,unf,0.31738391854263903,0.10649308129609503,False
test_rsq,ON,DL,fil,unf,0.08973083617486366,0.8294280415574127,False
test_rsq,ON,PLS,comb,fil,-0.15403287981565764,0.5157553684411695,False
test_rsq,ON,PLS,comb,unf,0.14121787256505258,0.5724800980341973,False
test_rsq,ON,PLS,fil,unf,0.2952507523807102,0.09563980784076886,False
test_rsq,ON,RF-PCA,comb,fil,0.021671051650559908,0.9682790307358079,False
test_rsq,ON,RF-PCA,comb,unf,0.15586624677722638,0.1994540796765376,False
test_rsq,ON,RF-PCA,fil,unf,0.13419519512666647,0.29956714379585936,False
test_rsq,ON,XGB-PCA,comb,fil,0.047692354646820104,0.9252983914511679,False
test_rsq,ON,XGB-PCA,comb,unf,0.3107471195046629,0.045424916778463276,True
test_rsq,ON,XGB-PCA,fil,unf,0.26305476485784274,0.10488393119006223,False
test_rsq,OP,DL,comb,fil,-0.31088172511968415,0.048100945101186454,True
test_rsq,OP,DL,comb,unf,-0.06587122647605187,0.8651480690905686,False
test_rsq,OP,DL,fil,unf,0.24501049864363228,0.14526148526036364,False
test_rsq,OP,PLS,comb,fil,-0.2321704299049452,0.17538249278654505,False
test_rsq,OP,PLS,comb,unf,-0.16114927260156198,0.4254398086941542,False
test_rsq,OP,PLS,fil,unf,0.07102115730338324,0.8449702013132392,False
test_rsq,OP,RF-PCA,comb,fil,-0.20313749020734573,0.34054299909481045,False
test_rsq,OP,RF-PCA,comb,unf,0.0793115003748302,0.8458304577689644,False
test_rsq,OP,RF-PCA,fil,unf,0.28244899058217593,0.12997537622293998,False
test_rsq,OP,XGB-PCA,comb,fil,-0.4732248864944738,0.08272278960292856,False
test_rsq,OP,XGB-PCA,comb,unf,0.08914518735661026,0.911125214602187,False
test_rsq,OP,XGB-PCA,fil,unf,0.5623700738510841,0.03175893053336232,True
test_rsq,Phosphate-P,DL,comb,fil,0.14823779035172463,0.08586264414393718,False
test_rsq,Phosphate-P,DL,comb,unf,-0.08979978018971008,0.3943430451469522,False
test_rsq,Phosphate-P,DL,fil,unf,-0.2380375705414347,0.002760124827237309,True
test_rsq,Phosphate-P,PLS,comb,fil,0.010123253350959628,0.9825338863429727,False
test_rsq,Phosphate-P,PLS,comb,unf,-0.01738992586872941,0.949368850773807,False
test_rsq,Phosphate-P,PLS,fil,unf,-0.027513179219689037,0.8782354180204244,False
test_rsq,Phosphate-P,RF-PCA,comb,fil,0.10685683679574048,0.036387999697918394,True
