perf_met,model,sp1,sp2,meandiff,pvalue,reject
test_rmse,RF-PCA,TKN,TN,0.6751323874859525,0.001,True
test_rmse,RF-PCA,TKN,TP,-0.22578420627759144,0.003072213185383421,True
test_rmse,RF-PCA,TN,TP,-0.9009165937635439,0.001,True
test_rmse,XGB-PCA,Ammonium-N,Nitrate-N,1.2468645565343892,0.001,True
test_rmse,XGB-PCA,Ammonium-N,ON,1.0109720817418595,0.001,True
test_rmse,XGB-PCA,Ammonium-N,OP,-0.6769992791510551,0.001,True
test_rmse,XGB-PCA,Ammonium-N,Phosphate-P,0.5849630659478207,0.001,True
test_rmse,XGB-PCA,Ammonium-N,TKN,0.8810219613673658,0.001,True
test_rmse,XGB-PCA,Ammonium-N,TN,1.5226142171541142,0.001,True
test_rmse,XGB-PCA,Ammonium-N,TP,0.5720449791677567,0.001,True
test_rmse,XGB-PCA,Nitrate-N,ON,-0.23589247479252973,0.005655069549585945,True
test_rmse,XGB-PCA,Nitrate-N,OP,-1.9238638356854443,0.001,True
test_rmse,XGB-PCA,Nitrate-N,Phosphate-P,-0.6619014905865686,0.001,True
test_rmse,XGB-PCA,Nitrate-N,TKN,-0.36584259516702344,0.001,True
test_rmse,XGB-PCA,Nitrate-N,TN,0.27574966061972483,0.001,True
test_rmse,XGB-PCA,Nitrate-N,TP,-0.6748195773666326,0.001,True
test_rmse,XGB-PCA,ON,OP,-1.6879713608929146,0.001,True
test_rmse,XGB-PCA,ON,Phosphate-P,-0.4260090157940388,0.001,True
test_rmse,XGB-PCA,ON,TKN,-0.12995012037449372,0.4384309474830379,False
test_rmse,XGB-PCA,ON,TN,0.5116421354122546,0.001,True
test_rmse,XGB-PCA,ON,TP,-0.43892710257410283,0.001,True
test_rmse,XGB-PCA,OP,Phosphate-P,1.2619623450988757,0.001,True
test_rmse,XGB-PCA,OP,TKN,1.5580212405184208,0.001,True
test_rmse,XGB-PCA,OP,TN,2.1996134963051692,0.001,True
test_rmse,XGB-PCA,OP,TP,1.2490442583188117,0.001,True
test_rmse,XGB-PCA,Phosphate-P,TKN,0.2960588954195451,0.001,True
test_rmse,XGB-PCA,Phosphate-P,TN,0.9376511512062934,0.001,True
test_rmse,XGB-PCA,Phosphate-P,TP,-0.012918086780064009,0.9,False
test_rmse,XGB-PCA,TKN,TN,0.6415922557867483,0.001,True
test_rmse,XGB-PCA,TKN,TP,-0.3089769821996091,0.001,True
test_rmse,XGB-PCA,TN,TP,-0.9505692379863574,0.001,True
test_rsq,All,Ammonium-N,Nitrate-N,-2.4280072255868936,0.001,True
test_rsq,All,Ammonium-N,ON,-0.04384117356361851,0.9,False
test_rsq,All,Ammonium-N,OP,0.19069894272139842,0.01784381908348509,True
test_rsq,All,Ammonium-N,Phosphate-P,-0.375526790665378,0.001,True
test_rsq,All,Ammonium-N,TKN,-0.30466959691064094,0.001,True
test_rsq,All,Ammonium-N,TN,-1.4398216016760284,0.001,True
test_rsq,All,Ammonium-N,TP,-0.3710072449009136,0.001,True
test_rsq,All,Nitrate-N,ON,2.384166052023275,0.001,True
test_rsq,All,Nitrate-N,OP,2.6187061683082917,0.001,True
test_rsq,All,Nitrate-N,Phosphate-P,2.0524804349215153,0.001,True
test_rsq,All,Nitrate-N,TKN,2.1233376286762526,0.001,True
test_rsq,All,Nitrate-N,TN,0.9881856239108651,0.001,True
test_rsq,All,Nitrate-N,TP,2.05699998068598,0.001,True
test_rsq,All,ON,OP,0.23454011628501695,0.001,True
test_rsq,All,ON,Phosphate-P,-0.3316856171017595,0.001,True
test_rsq,All,ON,TKN,-0.26082842334702244,0.001,True
test_rsq,All,ON,TN,-1.39598042811241,0.001,True
test_rsq,All,ON,TP,-0.3271660713372951,0.001,True
test_rsq,All,OP,Phosphate-P,-0.5662257333867764,0.001,True
test_rsq,All,OP,TKN,-0.4953685396320394,0.001,True
test_rsq,All,OP,TN,-1.6305205443974269,0.001,True
test_rsq,All,OP,TP,-0.5617061876223121,0.001,True
test_rsq,All,Phosphate-P,TKN,0.07085719375473704,0.9,False
test_rsq,All,Phosphate-P,TN,-1.0642948110106505,0.001,True
test_rsq,All,Phosphate-P,TP,0.004519545764464394,0.9,False
test_rsq,All,TKN,TN,-1.1351520047653874,0.001,True
test_rsq,All,TKN,TP,-0.06633764799027264,0.9,False
test_rsq,All,TN,TP,1.068814356775115,0.001,True
test_rsq,DL,Ammonium-N,Nitrate-N,-3.100706865462396,0.001,True
test_rsq,DL,Ammonium-N,ON,-0.2542099082003094,0.08978108349816949,False
test_rsq,DL,Ammonium-N,OP,0.02082889524932409,0.9,False
test_rsq,DL,Ammonium-N,Phosphate-P,-0.5096280089739151,0.001,True
test_rsq,DL,Ammonium-N,TKN,-0.4642252784719949,0.001,True
test_rsq,DL,Ammonium-N,TN,-1.9933200941130238,0.001,True
test_rsq,DL,Ammonium-N,TP,-0.5248818826291887,0.001,True
test_rsq,DL,Nitrate-N,ON,2.8464969572620866,0.001,True
test_rsq,DL,Nitrate-N,OP,3.12153576071172,0.001,True
test_rsq,DL,Nitrate-N,Phosphate-P,2.591078856488481,0.001,True
test_rsq,DL,Nitrate-N,TKN,2.636481586990401,0.001,True
test_rsq,DL,Nitrate-N,TN,1.1073867713493724,0.001,True
test_rsq,DL,Nitrate-N,TP,2.5758249828332076,0.001,True
test_rsq,DL,ON,OP,0.2750388034496335,0.04826465615273445,True
test_rsq,DL,ON,Phosphate-P,-0.25541810077360577,0.08724774011685221,False
test_rsq,DL,ON,TKN,-0.2100153702716855,0.2705987093376523,False
test_rsq,DL,ON,TN,-1.7391101859127143,0.001,True
test_rsq,DL,ON,TP,-0.2706719744288793,0.05532980923436137,False
test_rsq,DL,OP,Phosphate-P,-0.5304569042232393,0.001,True
test_rsq,DL,OP,TKN,-0.485054173721319,0.001,True
test_rsq,DL,OP,TN,-2.0141489893623477,0.001,True
test_rsq,DL,OP,TP,-0.5457107778785129,0.001,True
