"comparison","p","comp1","comp2","sp1","sp2","mod1","mod2"
"Nitrate-N_RF-PCA - Nitrate-N_XGB-PCA",0.458537606332522,"Nitrate-N_RF-PCA","Nitrate-N_XGB-PCA","Nitrate-N","Nitrate-N","RF-PCA","XGB-PCA"
"pH_DL - pH_PLS",0.452142683525775,"pH_DL","pH_PLS","pH","pH","DL","PLS"
"pH_DL - pH_RF-PCA",0.334072605346055,"pH_DL","pH_RF-PCA","pH","pH","DL","RF-PCA"
"pH_PLS - pH_RF-PCA",0.378871755087346,"pH_PLS","pH_RF-PCA","pH","pH","PLS","RF-PCA"
"pH_DL - pH_XGB-PCA",0.418285332541272,"pH_DL","pH_XGB-PCA","pH","pH","DL","XGB-PCA"
"pH_PLS - pH_XGB-PCA",0.465720374769407,"pH_PLS","pH_XGB-PCA","pH","pH","PLS","XGB-PCA"
"pH_RF-PCA - pH_XGB-PCA",0.411996188722,"pH_RF-PCA","pH_XGB-PCA","pH","pH","RF-PCA","XGB-PCA"
"Phosphorus_DL - Phosphorus_PLS",0.306110332768355,"Phosphorus_DL","Phosphorus_PLS","Phosphorus","Phosphorus","DL","PLS"
"Phosphorus_DL - Phosphorus_RF-PCA",0.280385871347099,"Phosphorus_DL","Phosphorus_RF-PCA","Phosphorus","Phosphorus","DL","RF-PCA"
"Phosphorus_PLS - Phosphorus_RF-PCA",0.470191124769951,"Phosphorus_PLS","Phosphorus_RF-PCA","Phosphorus","Phosphorus","PLS","RF-PCA"
"Phosphorus_DL - Phosphorus_XGB-PCA",0.346433836198436,"Phosphorus_DL","Phosphorus_XGB-PCA","Phosphorus","Phosphorus","DL","XGB-PCA"
"Phosphorus_PLS - Phosphorus_XGB-PCA",0.45543559350122,"Phosphorus_PLS","Phosphorus_XGB-PCA","Phosphorus","Phosphorus","PLS","XGB-PCA"
"Phosphorus_RF-PCA - Phosphorus_XGB-PCA",0.425936491010672,"Phosphorus_RF-PCA","Phosphorus_XGB-PCA","Phosphorus","Phosphorus","RF-PCA","XGB-PCA"
"Potassium_DL - Potassium_PLS",0.319614088139519,"Potassium_DL","Potassium_PLS","Potassium","Potassium","DL","PLS"
