perf_met,species,model,syn1,syn2,meandiff,pvalue,reject
test_rsq,Boron,XGB-PCA,False,True,0.2315017271958426,0.23295898225540912,False
test_rsq,Calcium,DL,False,True,1.6293816803165297,6.143940345371135e-08,True
test_rsq,Calcium,PLS,False,True,1.544434843120671,2.511422181328271e-10,True
test_rsq,Calcium,RF-PCA,False,True,0.7054005665802002,7.294651330758128e-07,True
test_rsq,Calcium,XGB-PCA,False,True,1.188882947690284,1.28664179310789e-09,True
test_rsq,Copper,DL,False,True,0.4014145433659658,0.00047695488090315763,True
test_rsq,Copper,PLS,False,True,0.1910984850750378,0.05842352176205168,False
test_rsq,Copper,RF-PCA,False,True,-0.002211783803522882,0.9766532725332233,False
test_rsq,Copper,XGB-PCA,False,True,-0.031993363728652524,0.7364192223383594,False
test_rsq,Iron,DL,False,True,1.4240445101779837,1.0067073841213414e-09,True
test_rsq,Iron,PLS,False,True,1.1811818202419553,2.354658014791511e-06,True
test_rsq,Iron,RF-PCA,False,True,0.22956599352446205,0.09832177389474628,False
test_rsq,Iron,XGB-PCA,False,True,0.7209931685765323,7.716540766167235e-05,True
test_rsq,Magnesium,DL,False,True,2.103693405112611,1.1821101431053194e-08,True
test_rsq,Magnesium,PLS,False,True,1.530354497345198,0.0,True
test_rsq,Magnesium,RF-PCA,False,True,0.4775815953889588,0.00010105755254674609,True
test_rsq,Magnesium,XGB-PCA,False,True,0.9162281031417011,1.0257705795879701e-10,True
test_rsq,Manganese,DL,False,True,0.45370873301030445,0.02078736333915754,True
test_rsq,Manganese,PLS,False,True,0.48059513070112475,0.0030413743183969055,True
test_rsq,Manganese,RF-PCA,False,True,0.5936457293962762,2.447264952909478e-07,True
test_rsq,Manganese,XGB-PCA,False,True,0.5455050675382012,8.526926451590811e-07,True
test_rsq,Molybdenum,DL,False,True,1.5865552202312259,0.0,True
test_rsq,Molybdenum,PLS,False,True,1.4152266515759593,4.90537055419793e-10,True
test_rsq,Molybdenum,RF-PCA,False,True,0.28604761880625384,0.00014940517333450476,True
test_rsq,Molybdenum,XGB-PCA,False,True,0.48803827953326584,4.281236083047979e-05,True
test_rsq,Nitrate-N,DL,False,True,-0.6366965322268763,0.08936565621116566,False
test_rsq,Nitrate-N,PLS,False,True,-0.18297265213523928,0.09273019382838743,False
test_rsq,Nitrate-N,RF-PCA,False,True,-0.006882645844861299,0.9441419818777325,False
test_rsq,Nitrate-N,XGB-PCA,False,True,0.0663546858130872,0.5316559874833632,False
test_rsq,Phosphorus,DL,False,True,0.23684373191997116,0.1084587366176829,False
test_rsq,Phosphorus,PLS,False,True,0.36677456984329404,0.0001796982349648868,True
test_rsq,Phosphorus,RF-PCA,False,True,0.28116493134799525,0.002448619246786632,True
test_rsq,Phosphorus,XGB-PCA,False,True,0.2622483864222555,0.018229286730101713,True
test_rsq,Potassium,DL,False,True,1.3256053198697861,7.727090134412862e-08,True
test_rsq,Potassium,PLS,False,True,1.2290697951729541,2.5408586346031825e-10,True
test_rsq,Potassium,RF-PCA,False,True,0.6891765539910095,4.21935446581756e-08,True
test_rsq,Potassium,XGB-PCA,False,True,0.8486152779681371,3.42979369349905e-08,True
test_rsq,Sulfate,DL,False,True,2.044487775305206,2.105515761741117e-11,True
test_rsq,Sulfate,PLS,False,True,1.3520010283138095,5.17808018685173e-13,True
test_rsq,Sulfate,RF-PCA,False,True,0.47972704910156827,6.586807603670142e-05,True
test_rsq,Sulfate,XGB-PCA,False,True,0.9839499394533553,3.543107029990722e-09,True
test_rsq,Zinc,DL,False,True,0.2876343569840728,0.17830477918477516,False
test_rsq,Zinc,PLS,False,True,0.11136245051144517,0.5098105601957078,False
test_rsq,Zinc,RF-PCA,False,True,0.3639036520232746,0.005696481526010988,True
test_rsq,Zinc,XGB-PCA,False,True,0.2820549626168755,0.09582998671715981,False
test_rsq,pH,DL,False,True,1.822963776228486,1.2034817586936697e-13,True
test_rsq,pH,PLS,False,True,0.8966917119544122,4.236862311235434e-05,True
test_rsq,pH,RF-PCA,False,True,0.5475029231300746,2.6468975939275552e-05,True
test_rsq,pH,XGB-PCA,False,True,0.8299645136846496,1.1974289682137318e-05,True
