"comparison","p","comp1","comp2","sp1","sp2","mod1","mod2"
"Nitrate-N_RF-PCA - Molybdenum_PLS",7.43849426498855e-15,"Nitrate-N_RF-PCA","Molybdenum_PLS","Nitrate-N","Molybdenum","RF-PCA","PLS"
"Nitrate-N_XGB-PCA - Molybdenum_PLS",7.43849426498855e-15,"Nitrate-N_XGB-PCA","Molybdenum_PLS","Nitrate-N","Molybdenum","XGB-PCA","PLS"
"Potassium_PLS - Molybdenum_PLS",7.43849426498855e-15,"Potassium_PLS","Molybdenum_PLS","Potassium","Molybdenum","PLS","PLS"
"Nitrate-N_PLS - Molybdenum_PLS",7.43849426498855e-15,"Nitrate-N_PLS","Molybdenum_PLS","Nitrate-N","Molybdenum","PLS","PLS"
"Potassium_RF-PCA - Molybdenum_PLS",7.43849426498855e-15,"Potassium_RF-PCA","Molybdenum_PLS","Potassium","Molybdenum","RF-PCA","PLS"
"Potassium_DL - Molybdenum_PLS",7.43849426498855e-15,"Potassium_DL","Molybdenum_PLS","Potassium","Molybdenum","DL","PLS"
"Potassium_XGB-PCA - Molybdenum_PLS",7.43849426498855e-15,"Potassium_XGB-PCA","Molybdenum_PLS","Potassium","Molybdenum","XGB-PCA","PLS"
"Nitrate-N_DL - Molybdenum_PLS",7.43849426498855e-15,"Nitrate-N_DL","Molybdenum_PLS","Nitrate-N","Molybdenum","DL","PLS"
"Molybdenum_XGB-PCA - Molybdenum_DL",0.999917761644056,"Molybdenum_XGB-PCA","Molybdenum_DL","Molybdenum","Molybdenum","XGB-PCA","DL"
"Molybdenum_RF-PCA - Molybdenum_DL",0.999691490410345,"Molybdenum_RF-PCA","Molybdenum_DL","Molybdenum","Molybdenum","RF-PCA","DL"
"Boron_PLS - Molybdenum_DL",7.43849426498855e-15,"Boron_PLS","Molybdenum_DL","Boron","Molybdenum","PLS","DL"
"Boron_RF-PCA - Molybdenum_DL",7.43849426498855e-15,"Boron_RF-PCA","Molybdenum_DL","Boron","Molybdenum","RF-PCA","DL"
"Copper_RF-PCA - Molybdenum_DL",7.43849426498855e-15,"Copper_RF-PCA","Molybdenum_DL","Copper","Molybdenum","RF-PCA","DL"
"Boron_XGB-PCA - Molybdenum_DL",7.43849426498855e-15,"Boron_XGB-PCA","Molybdenum_DL","Boron","Molybdenum","XGB-PCA","DL"
"Boron_DL - Molybdenum_DL",7.43849426498855e-15,"Boron_DL","Molybdenum_DL","Boron","Molybdenum","DL","DL"
"Copper_XGB-PCA - Molybdenum_DL",7.43849426498855e-15,"Copper_XGB-PCA","Molybdenum_DL","Copper","Molybdenum","XGB-PCA","DL"
"Copper_PLS - Molybdenum_DL",7.43849426498855e-15,"Copper_PLS","Molybdenum_DL","Copper","Molybdenum","PLS","DL"
"Copper_DL - Molybdenum_DL",7.43849426498855e-15,"Copper_DL","Molybdenum_DL","Copper","Molybdenum","DL","DL"
"Zinc_RF-PCA - Molybdenum_DL",7.43849426498855e-15,"Zinc_RF-PCA","Molybdenum_DL","Zinc","Molybdenum","RF-PCA","DL"
"Iron_DL - Molybdenum_DL",7.43849426498855e-15,"Iron_DL","Molybdenum_DL","Iron","Molybdenum","DL","DL"
"Iron_XGB-PCA - Molybdenum_DL",7.43849426498855e-15,"Iron_XGB-PCA","Molybdenum_DL","Iron","Molybdenum","XGB-PCA","DL"
"Iron_PLS - Molybdenum_DL",7.43849426498855e-15,"Iron_PLS","Molybdenum_DL","Iron","Molybdenum","PLS","DL"
"Zinc_PLS - Molybdenum_DL",7.43849426498855e-15,"Zinc_PLS","Molybdenum_DL","Zinc","Molybdenum","PLS","DL"
"Zinc_XGB-PCA - Molybdenum_DL",7.43849426498855e-15,"Zinc_XGB-PCA","Molybdenum_DL","Zinc","Molybdenum","XGB-PCA","DL"
"Iron_RF-PCA - Molybdenum_DL",7.43849426498855e-15,"Iron_RF-PCA","Molybdenum_DL","Iron","Molybdenum","RF-PCA","DL"
"Manganese_RF-PCA - Molybdenum_DL",7.43849426498855e-15,"Manganese_RF-PCA","Molybdenum_DL","Manganese","Molybdenum","RF-PCA","DL"
"Manganese_PLS - Molybdenum_DL",7.43849426498855e-15,"Manganese_PLS","Molybdenum_DL","Manganese","Molybdenum","PLS","DL"
"Manganese_XGB-PCA - Molybdenum_DL",7.43849426498855e-15,"Manganese_XGB-PCA","Molybdenum_DL","Manganese","Molybdenum","XGB-PCA","DL"
"Zinc_DL - Molybdenum_DL",7.43849426498855e-15,"Zinc_DL","Molybdenum_DL","Zinc","Molybdenum","DL","DL"
"Manganese_DL - Molybdenum_DL",7.43849426498855e-15,"Manganese_DL","Molybdenum_DL","Manganese","Molybdenum","DL","DL"
"pH_RF-PCA - Molybdenum_DL",7.43849426498855e-15,"pH_RF-PCA","Molybdenum_DL","pH","Molybdenum","RF-PCA","DL"
"pH_XGB-PCA - Molybdenum_DL",7.43849426498855e-15,"pH_XGB-PCA","Molybdenum_DL","pH","Molybdenum","XGB-PCA","DL"
"pH_PLS - Molybdenum_DL",7.43849426498855e-15,"pH_PLS","Molybdenum_DL","pH","Molybdenum","PLS","DL"
"pH_DL - Molybdenum_DL",7.43849426498855e-15,"pH_DL","Molybdenum_DL","pH","Molybdenum","DL","DL"
"Ammonium-N_PLS - Molybdenum_DL",7.43849426498855e-15,"Ammonium-N_PLS","Molybdenum_DL","Ammonium-N","Molybdenum","PLS","DL"
"Ammonium-N_RF-PCA - Molybdenum_DL",7.43849426498855e-15,"Ammonium-N_RF-PCA","Molybdenum_DL","Ammonium-N","Molybdenum","RF-PCA","DL"
"Ammonium-N_DL - Molybdenum_DL",7.43849426498855e-15,"Ammonium-N_DL","Molybdenum_DL","Ammonium-N","Molybdenum","DL","DL"
