"comparison","p","comp1","comp2","sp1","sp2","mod1","mod2"
"Calcium_PLS - Calcium_XGB-PCA",0.496489849181191,"Calcium_PLS","Calcium_XGB-PCA","Calcium","Calcium","PLS","XGB-PCA"
"Calcium_RF-PCA - Calcium_XGB-PCA",0.394210311365539,"Calcium_RF-PCA","Calcium_XGB-PCA","Calcium","Calcium","RF-PCA","XGB-PCA"
"Ammonium-N_DL - Copper_DL",9.56848082314815e-06,"Ammonium-N_DL","Copper_DL","Ammonium-N","Copper","DL","DL"
"Ammonium-N_PLS - Copper_DL",1.38478716812691e-05,"Ammonium-N_PLS","Copper_DL","Ammonium-N","Copper","PLS","DL"
"Ammonium-N_RF-PCA - Copper_DL",1.08154320286533e-05,"Ammonium-N_RF-PCA","Copper_DL","Ammonium-N","Copper","RF-PCA","DL"
"Ammonium-N_XGB-PCA - Copper_DL",6.82182974281928e-06,"Ammonium-N_XGB-PCA","Copper_DL","Ammonium-N","Copper","XGB-PCA","DL"
"Boron_DL - Copper_DL",0.489275692725285,"Boron_DL","Copper_DL","Boron","Copper","DL","DL"
"Boron_PLS - Copper_DL",0.398732049673906,"Boron_PLS","Copper_DL","Boron","Copper","PLS","DL"
"Boron_RF-PCA - Copper_DL",0.41981318997475,"Boron_RF-PCA","Copper_DL","Boron","Copper","RF-PCA","DL"
"Boron_XGB-PCA - Copper_DL",0.471941603463378,"Boron_XGB-PCA","Copper_DL","Boron","Copper","XGB-PCA","DL"
"Calcium_DL - Copper_DL",2.1593053e-11,"Calcium_DL","Copper_DL","Calcium","Copper","DL","DL"
"Calcium_PLS - Copper_DL",1.72655787994567e-10,"Calcium_PLS","Copper_DL","Calcium","Copper","PLS","DL"
"Calcium_RF-PCA - Copper_DL",2.79899379269022e-11,"Calcium_RF-PCA","Copper_DL","Calcium","Copper","RF-PCA","DL"
"Calcium_XGB-PCA - Copper_DL",1.63154011365966e-10,"Calcium_XGB-PCA","Copper_DL","Calcium","Copper","XGB-PCA","DL"
"Ammonium-N_DL - Copper_PLS",6.95999604482251e-06,"Ammonium-N_DL","Copper_PLS","Ammonium-N","Copper","DL","PLS"
"Ammonium-N_PLS - Copper_PLS",1.01293635568861e-05,"Ammonium-N_PLS","Copper_PLS","Ammonium-N","Copper","PLS","PLS"
"Ammonium-N_RF-PCA - Copper_PLS",7.8815518253561e-06,"Ammonium-N_RF-PCA","Copper_PLS","Ammonium-N","Copper","RF-PCA","PLS"
"Ammonium-N_XGB-PCA - Copper_PLS",4.937127224694e-06,"Ammonium-N_XGB-PCA","Copper_PLS","Ammonium-N","Copper","XGB-PCA","PLS"
