perf_met,species,mod1,mod2,meandiff,pvalue,reject
test_rsq,Calcium,RF-PCA,XGB-PCA,-0.17259223869364426,0.7490564032937639,False
test_rsq,Copper,DL,PLS,-0.041046954033123695,0.9,False
test_rsq,Copper,DL,RF-PCA,-0.18842399106532182,0.24300791982055814,False
test_rsq,Copper,DL,XGB-PCA,-0.087172781636213,0.7961451615460579,False
test_rsq,Copper,PLS,RF-PCA,-0.14737703703219812,0.45899960302037357,False
test_rsq,Copper,PLS,XGB-PCA,-0.04612582760308931,0.9,False
test_rsq,Copper,RF-PCA,XGB-PCA,0.10125120942910881,0.7178665794531336,False
test_rsq,Iron,DL,PLS,0.16870839220841294,0.8163126300049651,False
test_rsq,Iron,DL,RF-PCA,0.2967539207613219,0.46150002316933847,False
test_rsq,Iron,DL,XGB-PCA,0.15688924686901928,0.8488557255613529,False
test_rsq,Iron,PLS,RF-PCA,0.12804552855290896,0.9,False
test_rsq,Iron,PLS,XGB-PCA,-0.011819145339393655,0.9,False
test_rsq,Iron,RF-PCA,XGB-PCA,-0.13986467389230262,0.8957299048149656,False
test_rsq,Magnesium,DL,PLS,-0.4603700438832736,0.08421390603916434,False
test_rsq,Magnesium,DL,RF-PCA,0.08398811346781421,0.9,False
test_rsq,Magnesium,DL,XGB-PCA,-0.1574702023705017,0.8230329811337818,False
test_rsq,Magnesium,PLS,RF-PCA,0.5443581573510878,0.028360640532778536,True
test_rsq,Magnesium,PLS,XGB-PCA,0.30289984151277194,0.39461193445921716,False
test_rsq,Magnesium,RF-PCA,XGB-PCA,-0.2414583158383159,0.578866452150605,False
test_rsq,Manganese,DL,PLS,-0.3339527613271292,0.001,True
test_rsq,Manganese,DL,RF-PCA,-0.3825358088262268,0.001,True
test_rsq,Manganese,DL,XGB-PCA,-0.2681410393112381,0.001574122193188976,True
test_rsq,Manganese,PLS,RF-PCA,-0.04858304749909759,0.897349267545273,False
test_rsq,Manganese,PLS,XGB-PCA,0.06581172201589108,0.761360771798444,False
test_rsq,Manganese,RF-PCA,XGB-PCA,0.11439476951498867,0.3718053609212155,False
test_rsq,Molybdenum,DL,PLS,-0.33650021452009227,0.0014476386108176476,True
test_rsq,Molybdenum,DL,RF-PCA,-0.18318913369372614,0.16673423992555425,False
test_rsq,Molybdenum,DL,XGB-PCA,-0.20080327559350514,0.11006680131623525,False
test_rsq,Molybdenum,PLS,RF-PCA,0.1533110808263661,0.30729384888625455,False
test_rsq,Molybdenum,PLS,XGB-PCA,0.13569693892658713,0.41692380070316415,False
test_rsq,Molybdenum,RF-PCA,XGB-PCA,-0.017614141899778973,0.9,False
test_rsq,Nitrate-N,DL,PLS,-0.2825091253495291,0.6159431640210019,False
test_rsq,Nitrate-N,DL,RF-PCA,-0.7231511255881361,0.015724006584962313,True
test_rsq,Nitrate-N,DL,XGB-PCA,-0.6485496951374927,0.036962460198582514,True
test_rsq,Nitrate-N,PLS,RF-PCA,-0.440642000238607,0.25131384370918874,False
test_rsq,Nitrate-N,PLS,XGB-PCA,-0.3660405697879636,0.41449645662710355,False
test_rsq,Nitrate-N,RF-PCA,XGB-PCA,0.07460143045064332,0.9,False
test_rsq,Phosphorus,DL,PLS,-0.40697603032957497,0.001,True
test_rsq,Phosphorus,DL,RF-PCA,-0.4644349193487265,0.001,True
test_rsq,Phosphorus,DL,XGB-PCA,-0.3154093329807361,0.005883257033030498,True
test_rsq,Phosphorus,PLS,RF-PCA,-0.05745888901915153,0.9,False
