"comparison","p","comp1","comp2","sp1","sp2","mod1","mod2"
"Boron_XGB-PCA - Calcium_RF-PCA",1.15071437491713e-07,"Boron_XGB-PCA","Calcium_RF-PCA","Boron","Calcium","XGB-PCA","RF-PCA"
"Calcium_DL - Calcium_RF-PCA",0.390077856627643,"Calcium_DL","Calcium_RF-PCA","Calcium","Calcium","DL","RF-PCA"
"Calcium_PLS - Calcium_RF-PCA",0.392142563360405,"Calcium_PLS","Calcium_RF-PCA","Calcium","Calcium","PLS","RF-PCA"
"Ammonium-N_DL - Calcium_XGB-PCA",5.94678093097166e-07,"Ammonium-N_DL","Calcium_XGB-PCA","Ammonium-N","Calcium","DL","XGB-PCA"
"Ammonium-N_PLS - Calcium_XGB-PCA",4.39789268968608e-06,"Ammonium-N_PLS","Calcium_XGB-PCA","Ammonium-N","Calcium","PLS","XGB-PCA"
"Ammonium-N_RF-PCA - Calcium_XGB-PCA",5.29415865049699e-07,"Ammonium-N_RF-PCA","Calcium_XGB-PCA","Ammonium-N","Calcium","RF-PCA","XGB-PCA"
"Ammonium-N_XGB-PCA - Calcium_XGB-PCA",1.18330806710608e-08,"Ammonium-N_XGB-PCA","Calcium_XGB-PCA","Ammonium-N","Calcium","XGB-PCA","XGB-PCA"
"Boron_DL - Calcium_XGB-PCA",8.28779413583343e-09,"Boron_DL","Calcium_XGB-PCA","Boron","Calcium","DL","XGB-PCA"
"Boron_PLS - Calcium_XGB-PCA",3.72302646073441e-06,"Boron_PLS","Calcium_XGB-PCA","Boron","Calcium","PLS","XGB-PCA"
"Boron_RF-PCA - Calcium_XGB-PCA",8.34133303417871e-07,"Boron_RF-PCA","Calcium_XGB-PCA","Boron","Calcium","RF-PCA","XGB-PCA"
"Boron_XGB-PCA - Calcium_XGB-PCA",1.48068276450996e-08,"Boron_XGB-PCA","Calcium_XGB-PCA","Boron","Calcium","XGB-PCA","XGB-PCA"
"Calcium_DL - Calcium_XGB-PCA",0.257961895284075,"Calcium_DL","Calcium_XGB-PCA","Calcium","Calcium","DL","XGB-PCA"
"Calcium_PLS - Calcium_XGB-PCA",0.461448041999744,"Calcium_PLS","Calcium_XGB-PCA","Calcium","Calcium","PLS","XGB-PCA"
"Calcium_RF-PCA - Calcium_XGB-PCA",0.35549551763113,"Calcium_RF-PCA","Calcium_XGB-PCA","Calcium","Calcium","RF-PCA","XGB-PCA"
"Ammonium-N_DL - Copper_DL",0.0278273569086035,"Ammonium-N_DL","Copper_DL","Ammonium-N","Copper","DL","DL"
"Ammonium-N_PLS - Copper_DL",0.0666563574793359,"Ammonium-N_PLS","Copper_DL","Ammonium-N","Copper","PLS","DL"
"Ammonium-N_RF-PCA - Copper_DL",0.0263907597028276,"Ammonium-N_RF-PCA","Copper_DL","Ammonium-N","Copper","RF-PCA","DL"
"Ammonium-N_XGB-PCA - Copper_DL",0.00415585416915952,"Ammonium-N_XGB-PCA","Copper_DL","Ammonium-N","Copper","XGB-PCA","DL"
"Boron_DL - Copper_DL",0.00345937896525116,"Boron_DL","Copper_DL","Boron","Copper","DL","DL"
"Boron_PLS - Copper_DL",0.0621650812376464,"Boron_PLS","Copper_DL","Boron","Copper","PLS","DL"
"Boron_RF-PCA - Copper_DL",0.0324263262941588,"Boron_RF-PCA","Copper_DL","Boron","Copper","RF-PCA","DL"
"Boron_XGB-PCA - Copper_DL",0.00466074469074532,"Boron_XGB-PCA","Copper_DL","Boron","Copper","XGB-PCA","DL"
"Calcium_DL - Copper_DL",0.0108943467038644,"Calcium_DL","Copper_DL","Calcium","Copper","DL","DL"
"Calcium_PLS - Copper_DL",0.0022074539521634,"Calcium_PLS","Copper_DL","Calcium","Copper","PLS","DL"
"Calcium_RF-PCA - Copper_DL",0.0050389116618846,"Calcium_RF-PCA","Copper_DL","Calcium","Copper","RF-PCA","DL"
"Calcium_XGB-PCA - Copper_DL",0.00162171259017669,"Calcium_XGB-PCA","Copper_DL","Calcium","Copper","XGB-PCA","DL"
"Ammonium-N_DL - Copper_PLS",0.0173560242772228,"Ammonium-N_DL","Copper_PLS","Ammonium-N","Copper","DL","PLS"
"Ammonium-N_PLS - Copper_PLS",0.0446466201846457,"Ammonium-N_PLS","Copper_PLS","Ammonium-N","Copper","PLS","PLS"
"Ammonium-N_RF-PCA - Copper_PLS",0.016393735472404,"Ammonium-N_RF-PCA","Copper_PLS","Ammonium-N","Copper","RF-PCA","PLS"
"Ammonium-N_XGB-PCA - Copper_PLS",0.00227619443411515,"Ammonium-N_XGB-PCA","Copper_PLS","Ammonium-N","Copper","XGB-PCA","PLS"
"Boron_DL - Copper_PLS",0.0018735569202512,"Boron_DL","Copper_PLS","Boron","Copper","DL","PLS"
"Boron_PLS - Copper_PLS",0.0413862086981608,"Boron_PLS","Copper_PLS","Boron","Copper","PLS","PLS"
"Boron_RF-PCA - Copper_PLS",0.020464699463131,"Boron_RF-PCA","Copper_PLS","Boron","Copper","RF-PCA","PLS"
"Boron_XGB-PCA - Copper_PLS",0.0025709684701673,"Boron_XGB-PCA","Copper_PLS","Boron","Copper","XGB-PCA","PLS"
"Calcium_DL - Copper_PLS",0.0180384608859837,"Calcium_DL","Copper_PLS","Calcium","Copper","DL","PLS"
"Calcium_PLS - Copper_PLS",0.00403753643193769,"Calcium_PLS","Copper_PLS","Calcium","Copper","PLS","PLS"
"Calcium_RF-PCA - Copper_PLS",0.00877030348466777,"Calcium_RF-PCA","Copper_PLS","Calcium","Copper","RF-PCA","PLS"
"Calcium_XGB-PCA - Copper_PLS",0.00301908881901617,"Calcium_XGB-PCA","Copper_PLS","Calcium","Copper","XGB-PCA","PLS"
"Copper_DL - Copper_PLS",0.421533474321209,"Copper_DL","Copper_PLS","Copper","Copper","DL","PLS"
"Ammonium-N_DL - Copper_RF-PCA",0.00130138648917613,"Ammonium-N_DL","Copper_RF-PCA","Ammonium-N","Copper","DL","RF-PCA"
"Ammonium-N_PLS - Copper_RF-PCA",0.00468069988594755,"Ammonium-N_PLS","Copper_RF-PCA","Ammonium-N","Copper","PLS","RF-PCA"
"Ammonium-N_RF-PCA - Copper_RF-PCA",0.0012062536661214,"Ammonium-N_RF-PCA","Copper_RF-PCA","Ammonium-N","Copper","RF-PCA","RF-PCA"
"Ammonium-N_XGB-PCA - Copper_RF-PCA",9.32853618911051e-05,"Ammonium-N_XGB-PCA","Copper_RF-PCA","Ammonium-N","Copper","XGB-PCA","RF-PCA"
"Boron_DL - Copper_RF-PCA",7.28959206768327e-05,"Boron_DL","Copper_RF-PCA","Boron","Copper","DL","RF-PCA"
"Boron_PLS - Copper_RF-PCA",0.00421616842482483,"Boron_PLS","Copper_RF-PCA","Boron","Copper","PLS","RF-PCA"
"Boron_RF-PCA - Copper_RF-PCA",0.00162171259017669,"Boron_RF-PCA","Copper_RF-PCA","Boron","Copper","RF-PCA","RF-PCA"
"Boron_XGB-PCA - Copper_RF-PCA",0.000108895276370164,"Boron_XGB-PCA","Copper_RF-PCA","Boron","Copper","XGB-PCA","RF-PCA"
"Calcium_DL - Copper_RF-PCA",0.115725220144433,"Calcium_DL","Copper_RF-PCA","Calcium","Copper","DL","RF-PCA"
"Calcium_PLS - Copper_RF-PCA",0.0401035106014055,"Calcium_PLS","Copper_RF-PCA","Calcium","Copper","PLS","RF-PCA"
"Calcium_RF-PCA - Copper_RF-PCA",0.0700059055037844,"Calcium_RF-PCA","Copper_RF-PCA","Calcium","Copper","RF-PCA","RF-PCA"
"Calcium_XGB-PCA - Copper_RF-PCA",0.0324263262941589,"Calcium_XGB-PCA","Copper_RF-PCA","Calcium","Copper","XGB-PCA","RF-PCA"
"Copper_DL - Copper_RF-PCA",0.136233176741093,"Copper_DL","Copper_RF-PCA","Copper","Copper","DL","RF-PCA"
"Copper_PLS - Copper_RF-PCA",0.184212238850487,"Copper_PLS","Copper_RF-PCA","Copper","Copper","PLS","RF-PCA"
"Ammonium-N_DL - Copper_XGB-PCA",0.00818423964477693,"Ammonium-N_DL","Copper_XGB-PCA","Ammonium-N","Copper","DL","XGB-PCA"
"Ammonium-N_PLS - Copper_XGB-PCA",0.0234041738366303,"Ammonium-N_PLS","Copper_XGB-PCA","Ammonium-N","Copper","PLS","XGB-PCA"
